day_number,post_title,song_title,artist,album_or_year,quote_text,full_post_content,rating,created_at,status
1,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day1,瘋狂世界,五月天,1999年：五月天第一張創作專輯,,"《一天一段阿信如詩一般的詞，直到下一場演唱會》Day1

＂想了你一整夜　再也想不起你的臉
你是一種感覺　寫在夏夜晚風裡面
青春是挽不回的水  轉眼消失在指間
用力的浪費　再用力的後悔＂ ── 五月天《瘋狂世界》

#五月天 #阿信",3,2026-09-10 16:21:34,ready_to_post
2,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day2,擁抱,五月天,1999年：五月天第一張創作專輯,"脫下長日的假面 奔向夢幻的疆界
南瓜馬車的午夜 換上童話的玻璃鞋","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day2

＂脫下長日的假面 奔向夢幻的疆界
南瓜馬車的午夜 換上童話的玻璃鞋＂ ── 五月天《擁抱》

#五月天 #阿信",3,2026-09-10 16:22:48,ready_to_post
3,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day3,擁抱,五月天,1999年：五月天第一張創作專輯,"晚風吻盡 荷花葉
任我醉倒在池邊","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day3

＂晚風吻盡 荷花葉
任我醉倒在池邊＂ ── 五月天《擁抱》

#五月天 #阿信",3,2026-09-10 16:24:52,ready_to_post
4,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day4,2012,五月天,第二人生]],"落葉劑製造 落葉的秋
輻射塵覆蓋 清晨的冬
地球還殘喘 人就創造末日
又何必等到 上帝沒收","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day4

＂落葉劑製造 落葉的秋
輻射塵覆蓋 清晨的冬
地球還殘喘 人就創造末日
又何必等到 上帝沒收＂ ── 五月天《2012》

#五月天 #阿信",3,2026-09-10 16:28:25,ready_to_post
5,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day5,2012,五月天,第二人生]],"誰把 愉快的愉 換 偷竊的偷
難道 自找的找 是 自我的我
終於 未來的未 變 末日的末
我們啊 是先墜落 或先墜入自甘墮落","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day5

＂誰把 愉快的愉 換 偷竊的偷
難道 自找的找 是 自我的我
終於 未來的未 變 末日的末
我們啊 是先墜落 或先墜入自甘墮落＂ ── 五月天《2012》

#五月天 #阿信",3,2026-09-10 16:28:45,ready_to_post
6,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day6,成名在望,五月天,自傳]],"夢是把熱血和 汗與淚 熬成湯
澆灌在乾涸的 貧瘠的 現實上
當日常的重量 讓我們 不反抗
倒地後才發現 荒地上 渺茫 希望 綻放","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day6

＂夢是把熱血和 汗與淚 熬成湯
澆灌在乾涸的 貧瘠的 現實上
當日常的重量 讓我們 不反抗
倒地後才發現 荒地上 渺茫 希望 綻放＂ ── 五月天《成名在望》

#五月天 #阿信",3,2026-09-10 16:38:37,ready_to_post
7,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day7,成名在望,五月天,自傳]],"那黑的終點可有光
那夜的盡頭可會亮
那成名在望 是否風光
或者是 瘋狂的火光","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day7

＂那黑的終點可有光
那夜的盡頭可會亮
那成名在望 是否風光
或者是 瘋狂的火光＂ ── 五月天《成名在望》

#五月天 #阿信",3,2026-09-10 16:39:42,ready_to_post
8,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day8,成名在望,五月天,自傳]],"While we were so young
我夢到當時 我們翻過牆
曼陀羅花 沿途綻放
我們光腳越過人間荒唐","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day8

＂While we were so young
我夢到當時 我們翻過牆
曼陀羅花 沿途綻放
我們光腳越過人間荒唐＂ ── 五月天《成名在望》

#五月天 #阿信",3,2026-09-10 16:40:06,ready_to_post
9,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day9,成名在望,五月天,自傳]],"We're stupid but strong
放學的屋頂 像萬人廣場
從不多想 只是信仰
少年回頭望 笑我 還不快跟上","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day9

＂We're stupid but strong 
放學的屋頂 像萬人廣場 從不多想 只是信仰 
少年回頭望 笑我 「還不快跟上？」＂ ── 五月天《成名在望》

#五月天 #阿信",2,2026-09-10 16:41:51,ready_to_post
10,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day10,後青春期的詩,五月天,2008年：後青春期的詩,"當煙霧隨晨光飄散 枕畔的湖已風乾
期待已退化成等待 而我告別了突然","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day10

＂當煙霧隨晨光飄散 枕畔的湖已風乾
期待已退化成等待 而我告別了突然＂ ── 五月天《後青春期的詩》

#五月天 #阿信",3,2026-09-10 16:42:46,ready_to_post
11,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day11,後青春期的詩,五月天,2008年：後青春期的詩,"當淚痕勾勒著遺憾 回憶誇飾著傷感
逝水比喻時光荏苒","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day11

＂當淚痕勾勒著遺憾 回憶誇飾著傷感
逝水比喻時光荏苒＂ ── 五月天《後青春期的詩》

#五月天 #阿信",3,2026-09-10 16:43:02,ready_to_post
12,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day12,後青春期的詩,五月天,2008年：後青春期的詩,"終於我們不再 為了生命狂歡 為愛情狂亂
然而青春彼岸
盛夏正要一天一天一天的燦爛","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day12

＂終於我們不再 為了生命狂歡 為愛情狂亂
然而青春彼岸
盛夏正要一天一天一天的燦爛＂ ── 五月天《後青春期的詩》

#五月天 #阿信",2,2026-09-10 16:43:29,ready_to_post
13,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day13,後青春期的詩,五月天,2008年：後青春期的詩,"誰說不能讓我 此生唯一自傳 如同詩一般
無論多遠未來 讀來依然一字一句一篇都燦爛","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day13

＂誰說不能讓我 此生唯一自傳 如同詩一般
無論多遠未來 讀來依然一字一句一篇都燦爛＂ ── 五月天《後青春期的詩》

#五月天 #阿信",3,2026-09-10 16:44:06,ready_to_post
14,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day14,頑固,五月天,自傳]],"走過的 叫足跡 走不到 叫憧憬
學會收拾起叛逆 學會隱藏了表情
卸下了 這面具 我想說 謝謝你
謝謝你 一路陪我到這裡","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day14

＂走過的 叫足跡 走不到 叫憧憬
學會收拾起叛逆 學會隱藏了表情
卸下了 這面具 我想說 謝謝你
謝謝你 一路陪我到這裡＂ ── 五月天《頑固》

#五月天 #阿信",2,2026-09-10 17:01:08,ready_to_post
15,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day15,時光機,五月天,時光機]],"對不起 獨自迴盪在空氣 沒人聽
最後又是孤單 到天明","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day15

＂對不起 獨自迴盪在空氣 沒人聽
最後又是孤單 到天明＂ ── 五月天《時光機》

#五月天 #阿信",2,2026-09-11 11:14:14,ready_to_post
16,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day16,人生有限公司,五月天,自傳]],"「你曾掙扎過嗎 你曾反抗過嗎？」
如何使用生命 就叫「使命」是嗎？
人生有限選擇 誰在規劃？","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day16

＂「你曾掙扎過嗎 你曾反抗過嗎？」
如何使用生命 就叫「使命」是嗎？
人生有限選擇 誰在規劃？＂ ── 五月天《人生有限公司》

#五月天 #阿信",2,2026-09-11 11:30:25,ready_to_post
17,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day17,人生有限公司,五月天,自傳]],"「你曾停下過嗎 你曾懷疑過嗎？」
就算你有想法 你也沒有辦法
人生無限問題 沒有解答","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day17

＂「你曾停下過嗎 你曾懷疑過嗎？」
就算你有想法 你也沒有辦法
人生無限問題 沒有解答＂ ── 五月天《人生有限公司》

#五月天 #阿信",1,2026-09-11 11:32:34,ready_to_post
18,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day18,好好,五月天,自傳]],"生命再長不過 煙火 落下了眼角
世界再大不過 你我 凝視的微笑","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day18

＂生命再長不過 煙火 落下了眼角
世界再大不過 你我 凝視的微笑＂ ── 五月天《好好》

#五月天 #阿信",3,2026-09-11 11:33:45,ready_to_post
19,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day19,好好,五月天,自傳]],"最安靜的時刻 回憶 總是最喧囂
最喧囂的狂歡 寂寞 包圍著孤島","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day19

＂最安靜的時刻 回憶 總是最喧囂
最喧囂的狂歡 寂寞 包圍著孤島＂ ── 五月天《好好》

#五月天 #阿信",2,2026-09-11 11:34:35,ready_to_post
20,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day20,好好,五月天,自傳]],"我們都要把自己照顧好
好到遺憾無法打擾
好好的生活
好好的變老
好好假裝我 已經把你忘掉","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day20

＂我們都要把自己照顧好
好到遺憾無法打擾
好好的生活
好好的變老
好好假裝我 已經把你忘掉＂ ── 五月天《好好》

#五月天 #阿信",3,2026-09-11 11:35:38,ready_to_post
21,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day21,步步,五月天,2013年：步步 自選作品輯（精選輯）,"生如浮萍般卑微
愛卻蒼穹般壯烈
我要為你爬上最險山嶽
走過最崎嶇眷戀","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day21

＂生如浮萍般卑微
愛卻蒼穹般壯烈
我要為你爬上最險山嶽
走過最崎嶇眷戀＂ ── 五月天《步步》

#五月天 #阿信",3,2026-09-11 11:39:08,ready_to_post
22,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day22,洗衣機,五月天,第二人生]],"才發現了 她的皺紋是 無法償還的借據
才發現了 她的背影是 無法釋懷的風景","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day22

＂才發現了 她的皺紋是 無法償還的借據
才發現了 她的背影是 無法釋懷的風景＂ ── 五月天《洗衣機》

#五月天 #阿信",3,2026-09-11 11:40:52,ready_to_post
23,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day23,終於結束的起點,五月天,自傳]],"幸福的回憶 是追求 幸福的天敵
寂寞的問候 是加深 寂寞的陷阱","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day23

＂幸福的回憶 是追求 幸福的天敵
寂寞的問候 是加深 寂寞的陷阱＂ ── 五月天《終於結束的起點》

#五月天 #阿信",2,2026-09-11 12:31:13,ready_to_post
24,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day24,終於結束的起點,五月天,自傳]],"那些無法看破的嘆息 某天會是看淡的風景
雖然那風景 永遠有誰缺席","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day24

＂那些無法看破的嘆息 某天會是看淡的風景
雖然那風景 永遠有誰缺席＂ ── 五月天《終於結束的起點》

#五月天 #阿信",2,2026-09-11 12:33:09,ready_to_post
25,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day25,為你寫下這首情歌,五月天,2022年,"如天地與蜉蝣
如此渺小的你我
人間無常的變奏
只想每一刻 給你溫柔","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day25

＂如天地與蜉蝣
如此渺小的你我
人間無常的變奏
只想每一刻 給你溫柔＂ ── 五月天《為你寫下這首情歌》

#五月天 #阿信",2,2026-09-11 12:40:55,ready_to_post
